Author	n (strains)	publication title	journal	publication URL	strains
Ayubov et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UZB/hCoV-19-Uzb-CGB-25/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	UZB/hCoV-19-Uzb-CGB-25/2020
Githinji et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/K10186/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/K10186/2020
Mwesigwa et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MAKCHScov6/2020, complete genome	unknown	unknown	UGA/MAKCHScov6/2020
Mwesigwa et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MAKCHScov5/2020, complete genome	unknown	unknown	UGA/MAKCHScov5/2020
Byarugaba et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-JIN200229S/2020, complete genome	unknown	unknown	UGA/MUWRP-JIN200229S/2020
Byarugaba et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-20200195568/2020, complete genome	unknown	unknown	UGA/MUWRP-20200195568/2020
Mwesigwa et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MAKCHScov12/2021, complete genome	unknown	unknown	UGA/MAKCHScov12/2021
Byarugaba et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR200185S/2020, complete genome	unknown	unknown	UGA/MUWRP-KIR200185S/2020
Githinji et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/CBRD-376473/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/CBRD-376473/2021
Githinji et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS3043/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a gene, complete sequence; and ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/SS3043/2021
Byarugaba et al E	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR200128S/2020, complete genome	unknown	unknown	UGA/MUWRP-KIR200128S/2020
Byarugaba et al F	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR200145S/2020, complete genome	unknown	unknown	UGA/MUWRP-KIR200145S/2020
Byarugaba et al G	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR200176S/2020, complete genome	unknown	unknown	UGA/MUWRP-KIR200176S/2020
